DATE,TIME,実績(万kW),DATETIME
2021/4/12,15:00,669,2021-04-12 15:00:00
2021/4/12,16:00,680,2021-04-12 16:00:00
2021/4/12,17:00,680,2021-04-12 17:00:00
2021/4/12,18:00,686,2021-04-12 18:00:00
2021/4/12,19:00,675,2021-04-12 19:00:00
2021/4/12,20:00,652,2021-04-12 20:00:00
2021/4/12,21:00,623,2021-04-12 21:00:00
2021/4/12,22:00,596,2021-04-12 22:00:00
2021/4/12,23:00,563,2021-04-12 23:00:00
2021/4/13,0:00,557,2021-04-13 0:00:00
2021/4/13,1:00,563,2021-04-13 1:00:00
2021/4/13,2:00,590,2021-04-13 2:00:00
2021/4/13,3:00,634,2021-04-13 3:00:00
2021/4/13,4:00,649,2021-04-13 4:00:00
2021/4/13,5:00,635,2021-04-13 5:00:00
2021/4/13,6:00,624,2021-04-13 6:00:00
2021/4/13,7:00,639,2021-04-13 7:00:00
2021/4/13,8:00,681,2021-04-13 8:00:00
2021/4/13,9:00,703,2021-04-13 9:00:00
2021/4/13,10:00,705,2021-04-13 10:00:00
2021/4/13,11:00,702,2021-04-13 11:00:00
2021/4/13,12:00,662,2021-04-13 12:00:00
2021/4/13,13:00,688,2021-04-13 13:00:00
2021/4/13,14:00,687,2021-04-13 14:00:00
2021/4/13,15:00,674,2021-04-13 15:00:00
2021/4/13,16:00,681,2021-04-13 16:00:00
2021/4/13,17:00,669,2021-04-13 17:00:00
2021/4/13,18:00,675,2021-04-13 18:00:00
2021/4/13,19:00,671,2021-04-13 19:00:00
2021/4/13,20:00,642,2021-04-13 20:00:00
2021/4/13,21:00,617,2021-04-13 21:00:00
2021/4/13,22:00,590,2021-04-13 22:00:00
2021/4/13,23:00,564,2021-04-13 23:00:00
2021/4/14,0:00,558,2021-04-14 0:00:00
2021/4/14,1:00,553,2021-04-14 1:00:00
2021/4/14,2:00,590,2021-04-14 2:00:00
2021/4/14,3:00,631,2021-04-14 3:00:00
2021/4/14,4:00,645,2021-04-14 4:00:00
2021/4/14,5:00,632,2021-04-14 5:00:00
2021/4/14,6:00,630,2021-04-14 6:00:00
2021/4/14,7:00,616,2021-04-14 7:00:00
2021/4/14,8:00,661,2021-04-14 8:00:00
2021/4/14,9:00,704,2021-04-14 9:00:00
2021/4/14,10:00,695,2021-04-14 10:00:00
2021/4/14,11:00,697,2021-04-14 11:00:00
2021/4/14,12:00,653,2021-04-14 12:00:00
2021/4/14,13:00,684,2021-04-14 13:00:00
2021/4/14,14:00,692,2021-04-14 14:00:00
2021/4/14,15:00,667,2021-04-14 15:00:00
2021/4/14,16:00,666,2021-04-14 16:00:00
2021/4/14,17:00,668,2021-04-14 17:00:00
2021/4/14,18:00,689,2021-04-14 18:00:00
2021/4/14,19:00,695,2021-04-14 19:00:00
2021/4/14,20:00,679,2021-04-14 20:00:00
2021/4/14,21:00,650,2021-04-14 21:00:00
2021/4/14,22:00,619,2021-04-14 22:00:00
2021/4/14,23:00,594,2021-04-14 23:00:00
2021/4/15,0:00,586,2021-04-15 0:00:00
2021/4/15,1:00,594,2021-04-15 1:00:00
2021/4/15,2:00,632,2021-04-15 2:00:00
2021/4/15,3:00,678,2021-04-15 3:00:00
2021/4/15,4:00,690,2021-04-15 4:00:00
2021/4/15,5:00,694,2021-04-15 5:00:00
2021/4/15,6:00,710,2021-04-15 6:00:00
2021/4/15,7:00,694,2021-04-15 7:00:00
2021/4/15,8:00,702,2021-04-15 8:00:00
2021/4/15,9:00,718,2021-04-15 9:00:00
2021/4/15,10:00,714,2021-04-15 10:00:00
2021/4/15,11:00,705,2021-04-15 11:00:00
2021/4/15,12:00,665,2021-04-15 12:00:00
2021/4/15,13:00,690,2021-04-15 13:00:00
2021/4/15,14:00,686,2021-04-15 14:00:00
2021/4/15,15:00,676,2021-04-15 15:00:00
2021/4/15,16:00,671,2021-04-15 16:00:00
2021/4/15,17:00,673,2021-04-15 17:00:00
2021/4/15,18:00,700,2021-04-15 18:00:00
2021/4/15,19:00,698,2021-04-15 19:00:00
2021/4/15,20:00,681,2021-04-15 20:00:00
2021/4/15,21:00,658,2021-04-15 21:00:00
2021/4/15,22:00,619,2021-04-15 22:00:00
2021/4/15,23:00,593,2021-04-15 23:00:00
2021/4/16,0:00,571,2021-04-16 0:00:00
2021/4/16,1:00,580,2021-04-16 1:00:00
2021/4/16,2:00,613,2021-04-16 2:00:00
2021/4/16,3:00,653,2021-04-16 3:00:00
2021/4/16,4:00,671,2021-04-16 4:00:00
2021/4/16,5:00,672,2021-04-16 5:00:00
2021/4/16,6:00,675,2021-04-16 6:00:00
2021/4/16,7:00,665,2021-04-16 7:00:00
