需給実績公表,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります。,,,,,,,,,,,（単位：MWh）
,,,,,,,,,,,
DATE,TIME,"エリアの
需要実績",,エリアの供給実績,,,,,,,
,,,,火力,水力,バイオマス,太陽光,,風力,,合計
,,,,,,,,"太陽光
出力制御量",,"風力
出力制御量",
,,,,,,,,,,,
2023/4/5,2:00,597.1,,590.1,0.9,2.4,0,0,3.7,0,597.1
2023/4/5,3:00,631.9,,624.9,0.9,2.4,0,0,3.7,0,631.9
2023/4/5,4:00,645.1,,638.3,0.9,2.4,0,0,3.5,0,645.1
2023/4/5,5:00,647.9,,640.7,0.9,2.4,0,0,3.9,0,647.9
2023/4/5,6:00,657,,645.9,0.9,2.4,2.9,0,4.9,0,657
2023/4/5,7:00,696.5,,661.4,0.9,2.4,26.8,0,5,0,696.5
2023/4/5,8:00,786.5,,675,0.9,2.4,103.5,0,4.7,0,786.5
2023/4/5,9:00,823.6,,684.9,0.9,2.4,132.2,0,3.2,0,823.6
2023/4/5,10:00,837.9,,677.6,0.9,2.4,153.8,0,3.2,0,837.9
2023/4/5,11:00,866,,646.8,0.9,2.4,211.5,0,4.4,0,866
2023/4/5,12:00,867.6,,583,0.9,2.4,276.2,0,5.1,0,867.6
2023/4/5,13:00,879.7,,634.7,0.9,2.4,235.6,0,6.1,0,879.7
2023/4/5,14:00,862.1,,658.6,0.9,2.4,194,0,6.2,0,862.1
2023/4/5,15:00,865.4,,727.8,0.9,2.4,128,0,6.3,0,865.4
2023/4/5,16:00,821,,741.4,0.9,2.4,70.7,0,5.6,0,821
2023/4/5,17:00,832.5,,769.7,0.9,2.4,55.5,0,4,0,832.5
2023/4/5,18:00,848.1,,828.6,0.9,2.4,12.2,0,4,0,848.1
2023/4/5,19:00,863.3,,856,0.9,2.4,0,0,4,0,863.3
2023/4/5,20:00,836.5,,828.9,0.9,2.4,0,0,4.3,0,836.5
2023/4/5,21:00,790,,782.2,0.9,2.4,0,0,4.5,0,790
2023/4/5,22:00,731.6,,723.3,0.9,2.4,0,0,5,0,731.6
2023/4/5,23:00,680.6,,673.6,0.9,2.4,0,0,3.7,0,680.6
2023/4/6,0:00,631.1,,625.9,0.9,2.4,0,0,1.9,0,631.1
