DATE,TIME,実績(万kW)
2023/5/8,20:00,566
2023/5/8,21:00,546
2023/5/8,22:00,512
2023/5/8,23:00,499
2023/5/9,0:00,478
2023/5/9,1:00,481
2023/5/9,2:00,509
2023/5/9,3:00,557
2023/5/9,4:00,585
2023/5/9,5:00,592
2023/5/9,6:00,573
2023/5/9,7:00,540
2023/5/9,8:00,562
2023/5/9,9:00,599
2023/5/9,10:00,606
2023/5/9,11:00,615
2023/5/9,12:00,578
2023/5/9,13:00,611
2023/5/9,14:00,601
2023/5/9,15:00,585
2023/5/9,16:00,608
2023/5/9,17:00,595
2023/5/9,18:00,583
2023/5/9,19:00,592
2023/5/9,20:00,580
2023/5/9,21:00,556
2023/5/9,22:00,521
2023/5/9,23:00,503
2023/5/10,0:00,484
2023/5/10,1:00,480
2023/5/10,2:00,510
2023/5/10,3:00,555
2023/5/10,4:00,582
2023/5/10,5:00,581
2023/5/10,6:00,561
2023/5/10,7:00,538
2023/5/10,8:00,563
2023/5/10,9:00,592
2023/5/10,10:00,604
2023/5/10,11:00,619
2023/5/10,12:00,583
2023/5/10,13:00,610
2023/5/10,14:00,604
2023/5/10,15:00,603
2023/5/10,16:00,611
2023/5/10,17:00,601
2023/5/10,18:00,599
2023/5/10,19:00,586
2023/5/10,20:00,575
2023/5/10,21:00,560
2023/5/10,22:00,531
2023/5/10,23:00,514
2023/5/11,0:00,490
2023/5/11,1:00,484
2023/5/11,2:00,511
2023/5/11,3:00,560
2023/5/11,4:00,585
2023/5/11,5:00,579
2023/5/11,6:00,577
2023/5/11,7:00,564
2023/5/11,8:00,582
2023/5/11,9:00,611
2023/5/11,10:00,620
2023/5/11,11:00,640
2023/5/11,12:00,606
2023/5/11,13:00,642
2023/5/11,14:00,622
2023/5/11,15:00,614
2023/5/11,16:00,624
2023/5/11,17:00,612
2023/5/11,18:00,609
2023/5/11,19:00,603
2023/5/11,20:00,588
2023/5/11,21:00,568
2023/5/11,22:00,542
2023/5/11,23:00,525
2023/5/12,0:00,506
2023/5/12,1:00,507
2023/5/12,2:00,524
2023/5/12,3:00,570
2023/5/12,4:00,596
2023/5/12,5:00,595
2023/5/12,6:00,573
2023/5/12,7:00,549
2023/5/12,8:00,568
2023/5/12,9:00,602
2023/5/12,10:00,614
2023/5/12,11:00,619
2023/5/12,12:00,590
2023/5/12,13:00,631
2023/5/12,14:00,621
2023/5/12,15:00,619
2023/5/12,16:00,617
2023/5/12,17:00,596
2023/5/12,18:00,602
2023/5/12,19:00,596
2023/5/12,20:00,570
2023/5/12,21:00,550
2023/5/12,22:00,525
2023/5/12,23:00,507
2023/5/13,0:00,489
2023/5/13,1:00,485
2023/5/13,2:00,503
2023/5/13,3:00,542
2023/5/13,4:00,562
2023/5/13,5:00,542
2023/5/13,6:00,497
2023/5/13,7:00,483
2023/5/13,8:00,511
2023/5/13,9:00,536
2023/5/13,10:00,543
2023/5/13,11:00,548
2023/5/13,12:00,519
2023/5/13,13:00,533
2023/5/13,14:00,541
2023/5/13,15:00,539
2023/5/13,16:00,544
2023/5/13,17:00,550
2023/5/13,18:00,556
2023/5/13,19:00,554
2023/5/13,20:00,539
2023/5/13,21:00,519
2023/5/13,22:00,487
2023/5/13,23:00,466
2023/5/14,0:00,454
2023/5/14,1:00,448
2023/5/14,2:00,470
2023/5/14,3:00,514
2023/5/14,4:00,537
2023/5/14,5:00,521
2023/5/14,6:00,482
2023/5/14,7:00,464
2023/5/14,8:00,475
2023/5/14,9:00,476
2023/5/14,10:00,473
2023/5/14,11:00,479
2023/5/14,12:00,475
2023/5/14,13:00,475
2023/5/14,14:00,487
2023/5/14,15:00,479
2023/5/14,16:00,491
2023/5/14,17:00,520
2023/5/14,18:00,540
2023/5/14,19:00,540
2023/5/14,20:00,526
2023/5/14,21:00,505
2023/5/14,22:00,485
2023/5/14,23:00,465
2023/5/15,0:00,443
2023/5/15,1:00,438
2023/5/15,2:00,468
2023/5/15,3:00,518
2023/5/15,4:00,548
2023/5/15,5:00,543
2023/5/15,6:00,534
2023/5/15,7:00,526
2023/5/15,8:00,575
2023/5/15,9:00,621
2023/5/15,10:00,616
2023/5/15,11:00,639
2023/5/15,12:00,622
2023/5/15,13:00,660
2023/5/15,14:00,654
2023/5/15,15:00,626
2023/5/15,16:00,628
