DATE,TIME,当日実績(万kW)
2020/01/19,06:00,1324
2020/01/19,07:00,1396
2020/01/19,08:00,1461
2020/01/19,09:00,1445
2020/01/19,10:00,1371
2020/01/19,11:00,1320
2020/01/19,12:00,1292
2020/01/19,13:00,1268
2020/01/19,14:00,1271
2020/01/19,15:00,1288
2020/01/19,16:00,1373
2020/01/19,17:00,1514
2020/01/19,18:00,1549
2020/01/19,19:00,1544
2020/01/19,20:00,1519
2020/01/19,21:00,1462
2020/01/19,22:00,1378
2020/01/19,23:00,1328
DATE,TIME,当日実績(万kW)
2020/01/20,00:00,1262
2020/01/20,01:00,1258
2020/01/20,02:00,1274
2020/01/20,03:00,1291
2020/01/20,04:00,1302
2020/01/20,05:00,1358
2020/01/20,06:00,1550
2020/01/20,07:00,1743
2020/01/20,08:00,1959
2020/01/20,09:00,2026
2020/01/20,10:00,1959
2020/01/20,11:00,1913
2020/01/20,12:00,1758
2020/01/20,13:00,1845
2020/01/20,14:00,1857
2020/01/20,15:00,1844
2020/01/20,16:00,1897
2020/01/20,17:00,1944
2020/01/20,18:00,1926
2020/01/20,19:00,1863
2020/01/20,20:00,1800
2020/01/20,21:00,1734
2020/01/20,22:00,1657
2020/01/20,23:00,1590
DATE,TIME,当日実績(万kW)
2020/01/21,00:00,1502
2020/01/21,01:00,1472
2020/01/21,02:00,1473
2020/01/21,03:00,1469
2020/01/21,04:00,1472
2020/01/21,05:00,1515
2020/01/21,06:00,1673
2020/01/21,07:00,1801
2020/01/21,08:00,1996
2020/01/21,09:00,2070
2020/01/21,10:00,2013
2020/01/21,11:00,1953
2020/01/21,12:00,1818
2020/01/21,13:00,1908
2020/01/21,14:00,1906
2020/01/21,15:00,1895
2020/01/21,16:00,1942
2020/01/21,17:00,2002
2020/01/21,18:00,1998
2020/01/21,19:00,1927
2020/01/21,20:00,1871
2020/01/21,21:00,1810
2020/01/21,22:00,1731
2020/01/21,23:00,1674
DATE,TIME,当日実績(万kW)
2020/01/22,00:00,1586
2020/01/22,01:00,1550
2020/01/22,02:00,1545
2020/01/22,03:00,1539
2020/01/22,04:00,1527
2020/01/22,05:00,1564
2020/01/22,06:00,1731
2020/01/22,07:00,1890
2020/01/22,08:00,2093
2020/01/22,09:00,2150
2020/01/22,10:00,2079
2020/01/22,11:00,1998
2020/01/22,12:00,1821
2020/01/22,13:00,1908
2020/01/22,14:00,1899
2020/01/22,15:00,1884
2020/01/22,16:00,1943
2020/01/22,17:00,1969
2020/01/22,18:00,1938
2020/01/22,19:00,1869
2020/01/22,20:00,1805
2020/01/22,21:00,1731
2020/01/22,22:00,1644
2020/01/22,23:00,1572
DATE,TIME,当日実績(万kW)
2020/01/23,00:00,1477
2020/01/23,01:00,1439
2020/01/23,02:00,1442
2020/01/23,03:00,1445
2020/01/23,04:00,1437
2020/01/23,05:00,1474
2020/01/23,06:00,1609
2020/01/23,07:00,1751
